epoch,train_loss,train_acc,val_loss,val_acc
0,2.7124848,30.1947389885807,2.0834832,52.0359848484849
1,1.8550586,57.0605628058728,1.5597103,59.5880681818182
2,1.4978795,63.0658646003263,1.3347003,64.3939393939394
3,1.3108418,65.8951876019576,1.2014796,66.4535984848485
4,1.1972275,67.934339314845,1.1187125,67.7083333333333
5,1.1197636,69.4331158238173,1.0494636,69.2471590909091
6,1.0618865,70.3201468189233,1.0094919,70.0047348484849
7,1.0150524,71.268352365416,0.9764329,70.5492424242424
8,0.9798755,71.9055872756933,0.9447933,71.4015151515151
9,0.94502115,72.6600734094617,0.9234003,71.8276515151515
