epoch,train_loss,train_acc,val_loss,val_acc
0,3.5289464,4.163265306122449,3.3353033,3.5714285714285716
1,3.329909,3.8622448979591835,3.338556,3.5714285714285716
2,3.341092,3.4081632653061225,3.336157,3.5714285714285716
3,3.3392298,3.489795918367347,3.3397834,3.5714285714285716
4,3.342137,3.510204081632653,3.3377874,3.5714285714285716
5,3.343345,3.642857142857143,3.3377297,3.5714285714285716
6,3.3426597,3.586734693877551,3.3425767,3.5714285714285716
7,3.342969,3.7142857142857144,3.3394232,3.5714285714285716
8,3.3437412,3.336734693877551,3.336463,3.5714285714285716
9,3.3426967,3.7244897959183674,3.346744,3.5714285714285716
10,3.343635,3.6479591836734695,3.3445964,3.5714285714285716
11,3.343278,3.6530612244897958,3.3419576,3.5714285714285716
12,3.3439677,3.5306122448979593,3.3425188,3.5714285714285716
13,3.34342,3.443877551020408,3.3394918,3.5714285714285716
